GEO,GEO_omk,HARMstd
1,30,2020
101,3001,2020
102,3003,2008
103,3004,2008
104,3002,2020
105,3003,2008
106,3004,2008
111,3011,2020
113,3004,2008
114,3003,2008
115,3003,2008
118,3012,2020
119,3013,2020
121,3026,2020
122,3014,2020
123,3014,2020
124,3014,2020
125,3014,2020
127,3015,2020
128,3016,2020
130,3003,2008
131,3004,2008
133,3004,2008
134,3004,2008
135,3017,2020
136,3002,2020
137,3018,2020
138,3014,2020
2,30,2020
211,3019,2020
213,3020,2020
214,3021,2020
215,3022,2020
216,3023,2020
217,3020,2020
219,3024,2020
220,3025,2020
221,3026,2020
226,3030,2020
227,3030,2020
228,3027,2020
229,3028,2020
230,3029,2020
231,3030,2020
233,3031,2020
234,3032,2020
235,3033,2020
236,3034,2020
237,3035,2020
238,3036,2020
239,3037,2020
4,34,2020
401,3403,2008
402,3401,2020
403,3403,2008
412,3411,2020
414,3403,2008
415,3412,2020
417,3413,2020
418,3414,2020
419,3415,2020
420,3416,2020
423,3417,2020
425,3418,2020
426,3419,2020
427,3420,2020
428,3421,2020
429,3422,2020
430,3423,2020
432,3424,2020
434,3425,2020
436,3426,2020
437,3427,2020
438,3428,2020
439,3429,2020
441,3430,2020
5,34,2020
501,3405,2020
502,3407,2020
511,3431,2020
512,3432,2020
513,3433,2020
514,3434,2020
515,3435,2020
516,3436,2020
517,3437,2020
519,3438,2020
520,3439,2020
521,3440,2020
522,3441,2020
528,3442,2020
529,3443,2020
532,3053,2020
533,3054,2020
534,3446,2020
536,3447,2020
538,3448,2020
540,3449,2020
541,3450,2020
542,3451,2020
543,3452,2020
544,3453,2020
545,3454,2020
6,30,2020
602,3005,2020
604,3006,2020
605,3007,2020
612,3038,2020
615,3039,2020
616,3040,2020
617,3041,2020
618,3042,2020
619,3043,2020
620,3044,2020
621,3045,2020
622,3046,2020
623,3047,2020
624,3048,2020
625,3005,2020
626,3049,2020
627,3025,2020
628,3025,2020
631,3050,2020
632,3051,2020
633,3052,2020
7,38,2020
701,3801,2008
702,3802,2018
703,3801,2008
704,3803,2008
705,3803,2008
706,3804,2017
707,3805,2008
708,3805,2008
709,3805,2018
710,3804,2020
711,3005,2020
712,3805,2020
713,3802,2020
714,3802,2018
715,3802,2020
716,3803,2008
717,3801,2008
718,3803,2008
719,3804,2017
720,3804,2017
721,3803,2008
722,3811,2018
723,3811,2018
725,3805,2008
726,3805,2008
727,3805,2008
728,3805,2018
729,3811,2020
8,38,2020
805,3806,2020
806,3807,2020
807,3808,2020
811,3812,2020
814,3813,2020
815,3814,2020
817,3815,2020
819,3816,2020
821,3817,2020
822,3817,2020
826,3818,2020
827,3819,2020
828,3820,2020
829,3821,2020
830,3822,2020
831,3823,2020
833,3824,2020
834,3825,2020
9,42,2020
901,4201,2020
903,4203,2008
904,4202,2020
906,4203,2008
911,4211,2020
912,4212,2020
914,4213,2020
918,4203,2008
919,4214,2020
920,4203,2008
921,4203,2008
922,4203,2008
926,4215,2020
928,4216,2020
929,4217,2020
935,4218,2020
937,4219,2020
938,4220,2020
940,4221,2020
941,4222,2020
10,42,2020
1001,4204,2020
1002,4205,2020
1003,4206,2020
1004,4207,2020
1014,4223,2020
1017,4204,2020
1018,4204,2020
1021,4205,2020
1026,4224,2020
1027,4225,2020
1029,4205,2020
1032,4225,2020
1034,4226,2020
1037,4227,2020
1046,4228,2020
1102,1108,2020
1103,1103,2020
1129,1108,2020
1141,1103,2020
1142,1103,2020
1154,1160,2008
1159,1160,2008
1160,1160,2008
12,46,2020
1201,4601,2020
120101,460101,2020
120102,460102,2020
120103,460103,2020
120104,460104,2020
120105,460105,2020
120106,460106,2020
120107,460107,2020
120108,460108,2020
120199,460199,2020
1211,4611,2020
1214,1160,2008
1216,4612,2020
1219,4613,2020
1221,4614,2020
1222,4615,2020
1223,4616,2020
1224,4617,2020
1227,4618,2020
1228,4618,2020
1231,4618,2020
1232,4619,2020
1233,4620,2020
1234,4621,2020
1235,4621,2020
1238,4622,2020
1241,4624,2020
1242,4623,2020
1243,4624,2020
1244,4625,2020
1245,4626,2020
1246,4626,2020
1247,4627,2020
1251,4628,2020
1252,4629,2020
1253,4630,2020
1256,4631,2020
1259,4626,2020
1260,4631,2020
1263,4631,2020
1264,4632,2020
1265,4633,2020
1266,4634,2020
14,46,2020
1401,4602,2020
1411,4635,2020
1412,4636,2020
1413,4637,2020
1416,4638,2020
1417,4639,2020
1418,4640,2020
1419,4640,2020
1420,4640,2020
1421,4641,2020
1422,4642,2020
1424,4643,2020
1426,4644,2020
1428,4645,2020
1429,4646,2020
1430,4647,2020
1431,4647,2020
1432,4647,2020
1433,4647,2020
1438,4648,2020
1439,4602,2020
1441,4649,2020
1443,4649,2020
1444,1577,2020
1445,4650,2020
1449,4651,2020
1502,1506,2020
1503,1505,2008
1504,1507,2020
1505,1505,2008
1519,1577,2020
1523,1507,2020
1524,1578,2020
1526,1578,2020
1529,1507,2020
1534,1507,2020
1543,1506,2020
1545,1506,2020
1546,1507,2020
1548,1579,2020
1551,1579,2020
1556,1505,2008
1567,5061,2020
1569,1576,2008
1571,5099,2020
1572,1576,2008
1576,1576,2008
16,50,2018
1601,5001,2018
160101,500101,2018
160102,500102,2018
160103,500103,2018
160104,500104,2018
160199,500199,2018
1612,5099,2018
1613,5099,2018
1617,5099,2018
1620,5014,2018
1621,5057,2018
1622,5099,2018
1624,5054,2018
1627,5057,2018
1630,5058,2018
1632,5058,2018
1633,5020,2018
1634,5021,2018
1635,5022,2018
1636,5099,2018
1638,5099,2018
1640,5025,2018
1644,5026,2018
1648,5027,2018
1653,5028,2018
1657,5029,2018
1662,5001,2018
1663,5031,2018
1664,5032,2018
1665,5033,2018
17,50,2018
1702,5006,2018
1703,5007,2018
1711,5034,2018
1714,5035,2018
1717,5036,2018
1718,5054,2018
1719,5037,2018
1721,5038,2018
1723,5053,2012
1724,5006,2018
1725,5007,2018
1729,5053,2012
1736,5041,2018
1738,5042,2018
1739,5043,2018
1740,5044,2018
1742,5045,2018
1743,5046,2018
1744,5047,2018
1748,5007,2018
1749,5049,2018
1750,5060,2018
1751,5060,2018
1755,5052,2018
1756,5053,2018
1804,1804,2008
1805,1899,2020
1842,1804,2008
1849,1899,2020
1850,1899,2020
1852,5412,2020
1854,1899,2020
19,54,2020
1901,5402,2013
1902,5401,2020
1903,5402,2020
1911,5411,2020
1913,5412,2020
1915,5402,2013
1917,5413,2020
1919,5414,2020
1920,5415,2020
1922,5416,2020
1923,5417,2020
1924,5418,2020
1925,5419,2020
1926,5420,2020
1927,5421,2020
1928,5421,2020
1929,5421,2020
1931,5421,2020
1933,5422,2020
1936,5423,2020
1938,5424,2020
1939,5425,2020
1940,5426,2020
1941,5427,2020
1942,5428,2020
1943,5429,2020
20,54,2020
2001,5406,2008
2002,5404,2020
2003,5405,2020
2004,5406,2020
2011,5430,2020
2012,5403,2020
2014,5432,2020
2015,5433,2020
2016,5406,2008
2017,5406,2020
2018,5434,2020
2019,5435,2020
2020,5436,2020
2021,5437,2020
2022,5438,2020
2023,5439,2020
2024,5440,2020
2025,5441,2020
2027,5442,2020
2028,5443,2020
2030,5444,2020
5001,5001,2020
5004,5006,2020
5005,5007,2020
5011,5099,2020
5012,5099,2020
5013,5099,2020
5015,5057,2020
5016,5099,2020
5017,5057,2020
5018,5058,2020
5019,5058,2020
5023,5099,2020
5024,5099,2020
5030,5001,2020
5039,5006,2020
5040,5007,2020
5048,5007,2020
5050,5060,2020
5051,5060,2020
